epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,4246.24,1.47818,1.12736,1.20301,0.46829,0.4429,0.42937,0.22532,1.22416,9.16414,1.03333,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4323.44,1.48068,1.14036,1.20857,0.45202,0.43587,0.42172,0.22568,1.18929,9.53303,1.01674,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4400.32,1.46211,1.14299,1.20514,0.46639,0.40598,0.39701,0.21356,1.20523,11.2681,1.01784,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4476.63,1.45292,1.11212,1.19711,0.45296,0.44794,0.42442,0.22536,1.22198,10.6356,1.03109,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4554.86,1.45714,1.11986,1.19813,0.45344,0.43828,0.41778,0.2236,1.21327,10.8585,1.0193,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4630.89,1.43618,1.10237,1.18358,0.47746,0.42768,0.41473,0.22138,1.20008,10.1146,1.01231,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4707.55,1.44194,1.08534,1.18816,0.4478,0.44847,0.4124,0.22026,1.21339,10.4823,1.02631,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4785.27,1.42921,1.08661,1.18199,0.46264,0.40984,0.40357,0.2194,1.19648,11.0437,1.01755,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4863.61,1.42635,1.07239,1.1747,0.49232,0.41948,0.42563,0.23027,1.20409,10.1341,1.01565,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4940.25,1.41197,1.05279,1.17284,0.51205,0.4378,0.44599,0.24039,1.19565,8.88183,1.01304,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
